"locID","year","scientificName","avg_bud_burst_DOY","avg_bud_burst_date"
"loc4",2001,"Quercus rubra L.",120.8,2001-04-30
"loc4",2003,"Quercus rubra L.",104.914285714286,2003-04-14
"loc4",2004,"Quercus rubra L.",106.483870967742,2004-04-15
"loc4",2005,"Quercus rubra L.",100.739130434783,2005-04-10
"loc4",2006,"Quercus rubra L.",111,2006-04-21
"loc4",2007,"Quercus rubra L.",98.25,2007-04-08
"loc4",2012,"Quercus rubra L.",99.4047619047619,2012-04-08
"loc4",2013,"Quercus rubra L.",117,2013-04-27
"loc4",2014,"Quercus rubra L.",91.8076923076923,2014-04-01
"loc4",2015,"Quercus rubra L.",106,2015-04-16
"loc4",2016,"Quercus rubra L.",103,2016-04-12
"loc4",2017,"Quercus rubra L.",97.4782608695652,2017-04-07
"loc4",2018,"Quercus rubra L.",103.75,2018-04-13
"loc4",2019,"Quercus rubra L.",97.5,2019-04-07
"loc4",2020,"Quercus rubra L.",101.810810810811,2020-04-10
"loc4",2021,"Quercus rubra L.",115.545454545455,2021-04-25
"loc4",2022,"Quercus rubra L.",106.470588235294,2022-04-16
"loc4",2023,"Quercus rubra L.",113,2023-04-23
"loc4",2008,"Quercus robur L.",117.117405582923,2008-04-26
"loc4",1990,"Quercus rubra L.",113.083333333333,1990-04-23
"loc4",1991,"Quercus rubra L.",102.666666666667,1991-04-12
"loc4",1992,"Quercus rubra L.",124.25,1992-05-03
"loc4",1993,"Quercus rubra L.",111.4,1993-04-21
"loc4",2008,"Quercus rubra L.",106,2008-04-15
"loc4",1988,"Quercus rubra L.",NA,NaN
"loc4",1989,"Quercus rubra L.",103.5,1989-04-13
NA,1988,"Quercus robur L.",126,1988-05-05
